Business_ID,Annual_Revenue,Requested_Loan_Amount,GST_Compliance,Past_Defaults,Bank_Transactions,Market_Trend,Credit_Score,Sanctioned_Loan_Amount,Difference
1097,2443261,722146,84,2,Stable,Declining,402,488652,233494
1098,1990887,661838,96,2,High Volume,Stable,578,398177,263661
1099,1643486,773856,87,0,High Volume,Growth,643,493045,280811
1100,639028,117951,93,1,Stable,Growth,594,117951,0
1101,1416194,299700,87,1,Unstable,Stable,475,283238,16462
1102,1507297,562171,96,0,High Volume,Stable,626,452189,109982
1103,1043591,339258,96,0,Unstable,Growth,585,208718,130540
1104,1742744,227149,93,0,Stable,Growth,617,227149,0
1105,2739376,600653,94,1,Unstable,Stable,474,547875,52778
1106,8965987,2335883,90,0,Unstable,Growth,562,1793197,542686
1107,2279946,544281,87,2,High Volume,Declining,501,455989,88292
1108,2436420,317280,94,0,Low Volume,Stable,569,317280,0
1109,1868120,870532,89,1,Stable,Declining,459,373624,496908
1110,500000,196522,92,0,Stable,Declining,526,100000,96522
1111,1941146,517529,97,0,Low Volume,Growth,621,517529,0
1112,2080636,740764,87,0,High Volume,Stable,605,624190,116574
1113,14226169,6455511,91,0,Low Volume,Growth,589,2845233,3610278
1114,1699953,189168,96,0,Stable,Growth,631,189168,0
1115,2523703,410525,96,0,Low Volume,Growth,603,410525,0
1116,1928457,567382,95,0,Stable,Growth,631,567382,0
1117,778448,318817,96,0,Stable,Growth,643,233534,85283
1118,4946834,328048,91,0,Stable,Declining,516,328048,0
1119,3618414,1783184,94,1,Low Volume,Growth,577,723682,1059502
1120,3733384,950923,83,0,Low Volume,Stable,520,746676,204247
1121,957892,202742,91,0,Stable,Growth,605,202742,0
1122,6090468,1106796,93,0,Stable,Growth,611,1106796,0
1123,645977,82983,86,0,High Volume,Declining,552,82983,0
1124,3170772,1287994,98,0,Low Volume,Growth,597,634154,653840
1125,11437003,5489034,95,3,Unstable,Stable,416,2287400,3201634
1126,897682,211979,99,1,High Volume,Stable,602,211979,0
1127,1260428,603227,92,1,Stable,Growth,595,252085,351142
1128,2147298,903387,97,0,Low Volume,Growth,623,644189,259198
1129,1325393,353181,95,0,Stable,Growth,651,353181,0
1130,573475,202615,89,0,Low Volume,Declining,474,114695,87920
1131,2094552,514721,89,1,High Volume,Declining,537,418910,95811
1132,847594,255486,92,0,Unstable,Stable,525,169518,85968
1133,2896095,220453,88,1,High Volume,Stable,591,220453,0
1134,950231,345237,93,1,Stable,Growth,571,190046,155191
1135,6851290,505427,96,0,High Volume,Stable,637,505427,0
1136,1059595,442580,95,1,Unstable,Declining,419,211919,230661
1137,1532408,645490,94,0,High Volume,Stable,616,459722,185768
1138,3801148,595582,89,1,Stable,Stable,508,595582,0
1139,740669,144911,94,0,Low Volume,Stable,557,144911,0
1140,2378470,634076,87,0,Stable,Growth,606,634076,0
1141,5641803,1796905,95,1,Low Volume,Declining,484,1128360,668545
1142,547991,98260,89,0,Stable,Declining,528,98260,0
1143,2298362,727705,96,1,High Volume,Declining,529,459672,268033
1144,2440970,449149,93,0,Stable,Growth,649,449149,0
1145,3705980,277840,88,0,High Volume,Stable,620,277840,0
1146,737071,37692,86,0,High Volume,Stable,602,37692,0
1147,689440,65854,98,0,Stable,Growth,646,65854,0
1148,3010309,1223729,96,1,Unstable,Declining,439,602061,621668
1149,2514508,1213612,96,0,High Volume,Stable,637,754352,459260
1150,2422703,586621,95,0,High Volume,Stable,615,586621,0
1151,2616004,734333,91,0,Unstable,Growth,577,523200,211133
1152,1150814,133588,91,1,Stable,Declining,491,133588,0
1153,2387609,711422,93,1,Stable,Stable,540,477521,233901
1154,2506651,288502,90,0,Unstable,Declining,468,288502,0
1155,1119641,363935,96,0,Low Volume,Growth,609,335892,28043
1156,8820769,4145465,89,0,Low Volume,Stable,527,1764153,2381312
1157,2896653,399924,95,0,Low Volume,Stable,555,399924,0
1158,764485,301248,89,0,Stable,Growth,607,229345,71903
1159,3352587,203087,89,0,Stable,Growth,618,203087,0
1160,909140,199078,91,2,Stable,Stable,481,181828,17250
1161,3721613,371554,99,0,Stable,Stable,583,371554,0
1162,5009649,1045083,88,0,High Volume,Declining,547,1001929,43154
1163,1028338,131721,98,1,High Volume,Stable,618,131721,0
1164,4285299,934141,82,0,Stable,Growth,587,857059,77082
1165,2758575,656224,86,1,Stable,Declining,486,551715,104509
1166,3827216,709053,98,0,Stable,Growth,650,709053,0
1167,9042393,3123965,93,0,Stable,Stable,595,1808478,1315487
1168,1629346,755175,98,0,Low Volume,Stable,572,325869,429306
1169,1084914,249821,96,1,Stable,Growth,593,216982,32839
1170,973242,132900,95,0,High Volume,Declining,577,132900,0
1171,1032354,177384,88,0,High Volume,Stable,600,177384,0
1172,1864155,809603,98,1,High Volume,Growth,663,559246,250357
1173,2604944,800337,95,0,Unstable,Growth,564,520988,279349
1174,2474014,630267,88,0,Stable,Stable,580,494802,135465
1175,3842934,450917,88,0,Low Volume,Stable,552,450917,0
1176,2003491,505636,83,0,High Volume,Growth,658,505636,0
1177,6342777,1112025,96,0,Low Volume,Stable,573,1112025,0
1178,1604423,761176,83,0,Low Volume,Growth,560,320884,440292
1179,17472440,7824710,98,0,Low Volume,Stable,576,3494488,4330222
1180,3270763,287030,95,0,Stable,Growth,615,287030,0
1181,998764,282145,96,0,Low Volume,Growth,610,282145,0
1182,841790,127343,93,0,Unstable,Declining,473,127343,0
1183,2916742,684996,90,0,Unstable,Growth,577,583348,101648
1184,1658178,737195,92,1,High Volume,Growth,631,497453,239742
1185,3510259,1008784,85,1,Stable,Growth,557,702051,306733
1186,2895273,580204,91,1,High Volume,Declining,547,579054,1150
1187,1870538,268515,80,0,Unstable,Growth,518,268515,0
1188,1007079,413050,87,0,Unstable,Stable,509,201415,211635
1189,590144,195357,84,0,Stable,Growth,593,118028,77329
1190,1387186,361542,95,1,Unstable,Growth,551,277437,84105
1191,3933810,581684,96,1,Low Volume,Stable,532,581684,0
1192,2353173,471601,98,1,Stable,Stable,537,470634,967
1193,731907,352728,93,0,Stable,Stable,563,146381,206347
1194,2277399,646873,90,1,Stable,Stable,534,455479,191394
1195,2698628,621534,87,1,Unstable,Stable,468,539725,81809
1196,977657,278280,90,1,High Volume,Growth,625,278280,0
1197,2242227,898112,91,0,Low Volume,Stable,542,448445,449667
1198,2077274,421788,86,1,Stable,Growth,554,415454,6334
1199,794624,103633,95,0,Low Volume,Declining,521,103633,0
1200,2639843,826855,90,0,High Volume,Stable,616,791952,34903
1201,3105321,1084819,98,0,Stable,Stable,590,621064,463755
1202,4715856,1748277,97,0,Unstable,Stable,537,943171,805106
1203,4606789,2058748,84,1,Stable,Declining,462,921357,1137391
1204,658595,142934,94,0,Stable,Growth,645,142934,0
1205,936346,78569,95,1,Low Volume,Declining,484,78569,0
1206,2993723,1440750,96,0,Stable,Growth,637,898116,542634
1207,2990732,734988,96,0,Stable,Stable,599,598146,136842
1208,2993752,989333,95,0,Stable,Stable,602,898125,91208
1209,43236050,15125587,90,0,Unstable,Growth,561,8647210,6478377
1210,3130529,926421,88,1,Low Volume,Growth,538,626105,300316
1211,4918197,700183,97,0,High Volume,Growth,706,700183,0
1212,4253282,1657990,91,2,Low Volume,Stable,470,850656,807334
1213,3338770,1374533,98,0,Stable,Growth,625,1001631,372902
1214,1540757,460438,98,0,High Volume,Stable,656,460438,0
1215,3638840,981950,99,0,Low Volume,Declining,533,727768,254182
1216,1068472,108206,90,0,High Volume,Stable,621,108206,0
1217,1640555,144005,96,0,Stable,Growth,645,144005,0
1218,1344737,272718,89,0,High Volume,Stable,606,272718,0
1219,2116976,401973,98,1,Unstable,Declining,439,401973,0
1220,12631785,6052462,96,0,Low Volume,Declining,501,2526357,3526105
1221,500000,201315,91,1,High Volume,Stable,597,100000,101315
1222,3433217,1191209,93,0,Stable,Growth,635,1029965,161244
1223,545701,154402,95,0,Stable,Growth,625,154402,0
1224,1359265,170337,79,0,High Volume,Stable,573,170337,0
1225,4738165,2323148,81,0,Unstable,Stable,502,947633,1375515
1226,2087388,456654,95,0,Low Volume,Growth,618,456654,0
1227,837188,82142,91,0,Unstable,Growth,547,82142,0
1228,1118789,304545,83,0,High Volume,Stable,617,304545,0
1229,3414966,1513851,91,0,Stable,Stable,576,682993,830858
1230,1105388,496630,91,0,High Volume,Growth,678,331616,165014
1231,2357629,129516,93,0,Stable,Stable,593,129516,0
1232,2056380,922971,87,0,Low Volume,Growth,582,411276,511695
1233,1177283,202690,86,0,High Volume,Declining,578,202690,0
1234,11019261,744214,99,0,Stable,Stable,580,744214,0
1235,3292426,1420700,97,2,Stable,Growth,578,658485,762215
1236,500000,219370,97,0,Stable,Stable,590,100000,119370
1237,2301711,732644,96,0,High Volume,Declining,604,690513,42131
1238,1167728,360238,93,0,High Volume,Declining,561,233545,126693
1239,3921351,1630906,89,1,Stable,Growth,592,784270,846636
1240,1051768,424745,88,0,Stable,Growth,597,210353,214392
1241,1808866,814980,92,0,Low Volume,Stable,531,361773,453207
1242,2969754,887173,94,0,High Volume,Growth,673,887173,0
1243,3963366,1923981,97,0,High Volume,Stable,621,1189009,734972
1244,759004,378186,87,0,Low Volume,Stable,534,151800,226386
1245,1517233,155433,80,1,High Volume,Stable,548,155433,0
1246,1355992,586188,82,0,Stable,Growth,579,271198,314990
1247,1175656,323211,85,1,Stable,Growth,575,235131,88080
1248,8140510,1826770,81,0,High Volume,Stable,576,1628102,198668
1249,2741417,893380,97,1,Stable,Stable,550,548283,345097
1250,723093,54365,95,0,Unstable,Growth,590,54365,0
1251,4132072,1148334,88,1,High Volume,Growth,606,1148334,0
1252,10828856,4785280,99,0,Stable,Declining,554,2165771,2619509
1253,4528821,661469,87,0,Stable,Growth,619,661469,0
1254,588013,142226,98,1,Unstable,Growth,541,117602,24624
1255,1345953,636321,82,0,High Volume,Stable,585,269190,367131
1256,5463111,1326737,86,0,High Volume,Stable,599,1092622,234115
1257,1125642,237809,97,0,High Volume,Growth,683,237809,0
1258,2827930,702010,89,1,Stable,Growth,593,565586,136424
1259,3684728,1045555,88,0,Stable,Growth,616,1045555,0
1260,944542,315851,94,2,Stable,Growth,564,188908,126943
1261,1890553,775716,89,1,Stable,Growth,558,378110,397606
1262,500000,126723,95,0,Unstable,Declining,484,100000,26723
1263,873698,365089,95,0,Stable,Growth,649,262109,102980
1264,1620014,470086,95,0,Low Volume,Growth,614,470086,0
1265,730711,147835,94,1,High Volume,Growth,641,147835,0
1266,7318596,2532804,84,1,Stable,Declining,467,1463719,1069085
1267,631521,235542,89,0,Unstable,Declining,470,126304,109238
1268,1394386,419880,92,0,Unstable,Growth,569,278877,141003
1269,2201374,166153,92,0,Low Volume,Declining,492,166153,0
1270,6280867,794199,95,0,Unstable,Growth,588,794199,0
1271,628638,112139,92,0,Stable,Growth,625,112139,0
1272,5027991,890867,96,0,Unstable,Stable,544,890867,0
1273,1999058,705746,87,0,Low Volume,Growth,566,399811,305935
1274,904188,52675,95,0,High Volume,Growth,699,52675,0
1275,2869599,1119307,84,0,Stable,Stable,539,573919,545388
1276,2325040,393871,95,0,Stable,Stable,591,393871,0
1277,1226686,232469,80,0,High Volume,Declining,521,232469,0
1278,2096630,602906,93,0,Stable,Growth,617,602906,0
1279,1456795,214391,95,0,High Volume,Growth,687,214391,0
1280,2171251,972747,91,1,High Volume,Growth,636,651375,321372
1281,3367579,297748,91,2,Stable,Growth,544,297748,0
1282,7051941,1762788,96,0,High Volume,Growth,681,1762788,0
1283,736561,318371,91,0,Unstable,Stable,513,147312,171059
1284,10923497,3573401,85,1,Low Volume,Growth,526,2184699,1388702
1285,500000,90774,92,0,Unstable,Growth,584,90774,0
1286,1756040,420294,88,1,Low Volume,Declining,459,351208,69086
1287,3174478,1168247,98,0,Low Volume,Growth,626,952343,215904
1288,2482542,1211399,99,1,Stable,Stable,537,496508,714891
1289,1204820,544473,96,0,High Volume,Stable,640,361446,183027
1290,1678653,342604,90,0,High Volume,Declining,552,335730,6874
1291,1336546,667189,82,0,Low Volume,Declining,468,267309,399880
1292,1237382,63821,89,0,Stable,Growth,610,63821,0
1293,3912479,244269,92,0,Stable,Growth,614,244269,0
1294,2638213,1109971,89,0,High Volume,Growth,673,791463,318508
1295,1139013,159186,98,0,High Volume,Growth,689,159186,0
1296,4072143,314965,90,0,High Volume,Growth,674,314965,0
1297,2535343,397330,96,1,Low Volume,Growth,575,397330,0
1298,3799157,918427,95,0,Stable,Stable,589,759831,158596
1299,3281145,1242749,91,0,Stable,Declining,533,656229,586520
1300,1021522,338074,89,1,High Volume,Declining,529,204304,133770
1301,1266611,198769,97,0,High Volume,Growth,681,198769,0
1302,3605009,996683,82,0,Stable,Stable,559,721001,275682
1303,3230981,1508210,84,0,High Volume,Declining,543,646196,862014
1304,1949881,812620,85,0,Low Volume,Declining,481,389976,422644
1305,2177879,425635,92,0,Low Volume,Growth,602,425635,0
1306,5510313,2711179,92,1,High Volume,Growth,635,1653093,1058086
1307,1235199,455639,90,2,Low Volume,Stable,448,247039,208600
1308,3071504,239891,93,0,Stable,Stable,566,239891,0
1309,1686635,111018,88,1,Unstable,Growth,506,111018,0
1310,1665865,209538,93,0,Low Volume,Growth,619,209538,0
1311,4775558,1802941,91,0,Stable,Stable,553,955111,847830
1312,3837505,509170,96,0,Stable,Declining,518,509170,0
1313,3801125,1064958,94,0,High Volume,Growth,695,1064958,0
1314,5634298,518170,90,0,Low Volume,Declining,500,518170,0
1315,2016357,936394,90,0,Stable,Growth,603,604907,331487
1316,3421407,700644,92,0,Stable,Growth,620,700644,0
1317,1546936,709517,83,0,Stable,Growth,593,309387,400130
1318,2569786,1221147,97,0,High Volume,Growth,709,1027914,193233
1319,1786708,94263,89,0,Low Volume,Growth,586,94263,0
1320,2142742,554672,89,0,Low Volume,Stable,520,428548,126124
1321,3191896,195010,97,0,High Volume,Declining,592,195010,0
1322,1030365,472847,97,0,Stable,Growth,634,309109,163738
1323,10574012,2995442,89,1,High Volume,Stable,577,2114802,880640
1324,886633,74233,88,0,High Volume,Growth,668,74233,0
1325,750616,74780,96,0,Stable,Declining,538,74780,0
1326,5007707,1114611,91,0,Unstable,Growth,580,1001541,113070
1327,3735268,1767175,93,0,Stable,Growth,616,1120580,646595
1328,3266716,1181928,88,0,Stable,Growth,619,980014,201914
1329,3277778,1443627,99,0,Unstable,Declining,476,655555,788072
1330,1963428,421951,97,2,Low Volume,Stable,494,392685,29266
1331,967235,67171,96,1,High Volume,Stable,590,67171,0
1332,2106722,1029013,95,0,High Volume,Growth,680,632016,396997
1333,1153453,66586,96,0,High Volume,Growth,696,66586,0
1334,4325749,2060974,92,0,Stable,Stable,587,865149,1195825
1335,1762694,380574,95,1,Low Volume,Stable,512,352538,28036
1336,1024384,55871,93,0,Low Volume,Growth,607,55871,0
1337,1533236,552150,98,1,High Volume,Stable,601,459970,92180
1338,2758907,1355294,93,0,Stable,Declining,512,551781,803513
1339,1263025,611975,94,0,High Volume,Growth,684,378907,233068
1340,1027073,125736,90,0,High Volume,Declining,566,125736,0
1341,2409548,317004,89,0,High Volume,Stable,633,317004,0
1342,2412015,734441,98,0,Unstable,Growth,594,482403,252038
1343,1321721,445139,96,0,Stable,Declining,536,264344,180795
1344,1360237,520614,85,1,Unstable,Stable,469,272047,248567
1345,2387220,313854,86,0,Low Volume,Stable,536,313854,0
1346,622521,299777,95,0,Low Volume,Stable,570,124504,175273
1347,643083,216997,91,0,Low Volume,Growth,599,128616,88381
1348,1115981,481179,97,0,High Volume,Stable,642,334794,146385
1349,1671517,489804,94,0,Low Volume,Stable,541,334303,155501
1350,2542672,601150,91,0,High Volume,Growth,676,601150,0
1351,6454480,3160967,90,0,Unstable,Stable,495,1290896,1870071
1352,3937780,1228409,95,1,Low Volume,Stable,517,787556,440853
1353,1744623,767797,93,0,Unstable,Growth,577,348924,418873
1354,1952824,935367,89,0,Unstable,Growth,567,390564,544803
1355,889110,314665,81,0,Stable,Growth,594,177822,136843
1356,1953610,580266,88,0,Unstable,Growth,536,390722,189544
1357,1573909,81182,93,1,Stable,Declining,505,81182,0
1358,2566811,174566,89,0,Stable,Growth,632,174566,0
1359,1022964,143607,89,0,Low Volume,Stable,522,143607,0
1360,3004066,401655,95,0,Stable,Growth,631,401655,0
1361,6757686,1112595,96,1,High Volume,Growth,629,1112595,0
1362,1817535,340280,98,0,Low Volume,Stable,565,340280,0
1363,2734254,579742,82,0,High Volume,Declining,531,546850,32892
1364,3443900,823925,77,1,Stable,Stable,494,688780,135145
1365,1438374,135912,91,0,Stable,Stable,576,135912,0
1366,2372071,163822,86,0,Low Volume,Stable,523,163822,0
1367,2002834,707551,83,0,Low Volume,Growth,584,400566,306985
1368,2143908,625594,89,0,Stable,Growth,630,625594,0
1369,1068314,266934,88,0,Stable,Declining,500,213662,53272
1370,2022021,678384,77,0,Low Volume,Declining,471,404404,273980
1371,2953196,1247595,92,0,Stable,Declining,527,590639,656956
1372,6330659,1534943,84,0,Stable,Declining,502,1266131,268812
1373,4271248,1445834,89,0,High Volume,Growth,663,1281374,164460
1374,11101002,5318573,97,1,Unstable,Growth,541,2220200,3098373
1375,1073164,459133,85,1,Stable,Growth,571,214632,244501
1376,3984238,962992,82,0,Low Volume,Growth,582,796847,166145
1377,2295988,780917,87,1,High Volume,Stable,571,459197,321720
1378,11431032,1482398,89,0,Stable,Growth,637,1482398,0
1379,1038576,313894,85,0,Stable,Growth,606,311572,2322
1380,1012793,497887,90,0,High Volume,Growth,690,303837,194050
1381,1227495,347678,90,0,Low Volume,Declining,497,245499,102179
1382,500000,233719,94,0,Low Volume,Growth,607,150000,83719
1383,1301979,303753,91,0,High Volume,Growth,663,303753,0
1384,1080240,539558,95,0,Stable,Stable,589,216048,323510
1385,2236259,694692,91,0,High Volume,Growth,656,670877,23815
1386,2606203,179883,90,0,Stable,Declining,511,179883,0
1387,8894438,2793206,96,1,Stable,Stable,530,1778887,1014319
1388,4241125,736080,96,0,Stable,Growth,624,736080,0
1389,1249779,80756,90,1,High Volume,Growth,647,80756,0
1390,966337,405266,86,0,High Volume,Growth,659,289901,115365
1391,2938869,511593,89,0,Low Volume,Growth,599,511593,0
1392,689563,281650,93,1,Unstable,Growth,544,137912,143738
1393,8581910,1542151,96,0,Unstable,Stable,509,1542151,0
1394,5093889,700139,97,0,Low Volume,Growth,628,700139,0
1395,1362265,665155,92,0,High Volume,Growth,657,408679,256476
1396,503577,107131,88,0,High Volume,Stable,598,100715,6416
1397,5856706,1877773,92,0,Stable,Growth,625,1757011,120762
1398,1809151,587054,92,0,High Volume,Growth,686,542745,44309
1399,5337421,1613038,95,0,Stable,Stable,586,1067484,545554
1400,553744,255615,92,0,Unstable,Growth,585,110748,144867
1401,1227512,433924,90,0,High Volume,Growth,676,368253,65671
1402,1991094,461296,83,1,Low Volume,Growth,523,398218,63078
1403,2058698,901856,96,0,High Volume,Stable,648,617609,284247
1404,1383252,181868,89,1,Stable,Stable,519,181868,0
1405,3263399,962398,94,0,Stable,Growth,617,962398,0
1406,843997,403218,90,0,Stable,Stable,578,168799,234419
1407,1769303,586398,88,1,Unstable,Stable,468,353860,232538
1408,2183056,911722,83,0,Stable,Growth,603,654916,256806
1409,2992295,1029656,91,0,Low Volume,Stable,526,598459,431197
1410,3503566,1498534,92,0,Low Volume,Growth,582,700713,797821
1411,806361,383037,98,0,Low Volume,Growth,604,241908,141129
1412,581118,100426,87,1,Low Volume,Declining,442,100426,0
1413,5510365,696221,94,0,Stable,Stable,565,696221,0
1414,2586591,692678,94,1,Low Volume,Stable,501,517318,175360
1415,1089480,398573,88,0,Stable,Declining,501,217896,180677
1416,6857967,1044030,83,0,Stable,Growth,590,1044030,0
1417,2175001,112764,83,1,High Volume,Growth,629,112764,0
1418,5093306,1040668,86,0,High Volume,Declining,562,1018661,22007
1419,2092803,1017074,96,0,Stable,Growth,646,627840,389234
1420,10309727,3739703,95,0,High Volume,Stable,620,3092918,646785
1421,8074913,1862046,82,3,Stable,Declining,361,1614982,247064
1422,1624692,222029,94,1,Stable,Growth,584,222029,0
1423,4313485,906869,94,0,High Volume,Declining,586,862697,44172
1424,3322742,420087,88,1,Stable,Stable,515,420087,0
1425,5926268,579812,96,0,Stable,Declining,525,579812,0
1426,916265,419681,88,2,High Volume,Growth,571,183253,236428
1427,3432643,1712692,83,1,Stable,Stable,516,686528,1026164
1428,4623856,572671,92,1,Stable,Declining,487,572671,0
1429,500000,37268,85,0,Stable,Growth,587,37268,0
1430,769421,152637,94,0,Low Volume,Growth,599,152637,0
1431,500000,128873,97,2,High Volume,Growth,600,128873,0
1432,1598337,227235,92,0,High Volume,Declining,591,227235,0
1433,3520219,653498,83,0,Stable,Growth,599,653498,0
1434,6595417,925943,96,0,Low Volume,Growth,616,925943,0
1435,2103842,838207,82,1,Stable,Stable,519,420768,417439
1436,7296406,2704486,97,0,Stable,Stable,611,2188921,515565
1437,657315,220679,89,0,Stable,Stable,557,131463,89216
1438,507521,113811,92,0,Stable,Stable,569,101504,12307
1439,1896578,870659,81,0,Unstable,Stable,495,379315,491344
1440,2695926,1311001,90,0,Low Volume,Growth,604,808777,502224
1441,1931571,247507,96,0,Low Volume,Declining,504,247507,0
1442,500000,75178,89,1,Stable,Growth,560,75178,0
1443,1846318,529033,93,0,Stable,Declining,549,369263,159770
1444,698314,63590,95,0,Stable,Growth,641,63590,0
1445,3387958,834799,95,0,Stable,Growth,634,834799,0
1446,2658516,828941,96,0,Stable,Stable,574,531703,297238
1447,934808,266358,96,0,High Volume,Declining,607,266358,0
1448,1314421,261450,87,0,High Volume,Growth,664,261450,0
1449,849692,249895,95,0,High Volume,Growth,689,249895,0
1450,1885789,907933,98,0,Low Volume,Stable,555,377157,530776
